shieldcharacter,attackcharacter,movehitbox,charmovehitbox,shieldadvantage,shieldadvantageforcalculation,correctstartup,correctrow,randomrow1,randomrow2,randomrow3,totalnumberofchoices,correct,randomchoice1,randomchoice2,randomchoice3,choiceA,choiceB,choiceC,choiceD,correctindex,explanation,Column 1
Samus,Kirby,Nair (Late Hit),Kirby Nair (Late Hit),-3,3,0,1,2,10,8,11,No Guaranteed Punish,Down Smash,Nair/Up Smash,F Smash,No Guaranteed Punish,F Smash,Down Smash,Nair/Up Smash,A,Move is -3 on shield. Samus does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Yoshi,Kirby,Nair (Late Hit),Kirby Nair (Late Hit),-3,3,0,1,5,4,6,10,No Guaranteed Punish,Ftilt,Down Smash/Down B/Shield Grab,Fair (Latest Hit),Fair (Latest Hit),No Guaranteed Punish,Down Smash/Down B/Shield Grab,Ftilt,B,Move is -3 on shield. Yoshi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Kirby,Kirby,Nair (Late Hit),Kirby Nair (Late Hit),-3,3,0,1,6,11,4,11,No Guaranteed Punish,Up Tilt (Latest Hit)/Dair/Neutral B,Dtilt,F Smash,Dtilt,Up Tilt (Latest Hit)/Dair/Neutral B,No Guaranteed Punish,F Smash,C,Move is -3 on shield. Kirby does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Fox,Kirby,Nair (Late Hit),Kirby Nair (Late Hit),-3,3,0,1,4,5,8,10,No Guaranteed Punish,Shield Grab/Fair,F Smash,Nair,Nair,No Guaranteed Punish,Shield Grab/Fair,F Smash,B,Move is -3 on shield. Fox does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Pikachu,Kirby,Nair (Late Hit),Kirby Nair (Late Hit),-3,3,0,1,7,5,11,11,No Guaranteed Punish,Fair,Up Tilt (Latest Hit),Dtilt,Up Tilt (Latest Hit),Fair,No Guaranteed Punish,Dtilt,C,Move is -3 on shield. Pikachu does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Luigi,Kirby,Nair (Late Hit),Kirby Nair (Late Hit),-3,3,0,1,9,8,2,11,No Guaranteed Punish,Dash Attack,Up Tilt/Dtilt/Ftilt,F Smash,Up Tilt/Dtilt/Ftilt,F Smash,Dash Attack,No Guaranteed Punish,D,Move is -3 on shield. Luigi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Ness,Kirby,Nair (Late Hit),Kirby Nair (Late Hit),-3,3,0,1,6,10,2,11,No Guaranteed Punish,F Smash,Up Tilt,Nair,No Guaranteed Punish,Up Tilt,F Smash,Nair,A,Move is -3 on shield. Ness does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Captain Falcon,Kirby,Nair (Late Hit),Kirby Nair (Late Hit),-3,3,0,1,2,7,4,11,No Guaranteed Punish,Dair,Down B,Up B (Ground)/Jab,Up B (Ground)/Jab,Down B,No Guaranteed Punish,Dair,C,Move is -3 on shield. Captain Falcon does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Jigglypuff,Kirby,Nair (Late Hit),Kirby Nair (Late Hit),-3,3,0,1,5,11,4,12,No Guaranteed Punish,Nair,Fair,Shield Grab/Dair,No Guaranteed Punish,Shield Grab/Dair,Fair,Nair,A,Move is -3 on shield. Jigglypuff does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Min Min,Kirby,Nair (Late Hit),Kirby Nair (Late Hit),-3,3,0,1,9,5,6,10,No Guaranteed Punish,Ftilt,Dash Attack,Shield Grab,No Guaranteed Punish,Dash Attack,Shield Grab,Ftilt,A,Move is -3 on shield. Min Min does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Mario,Kirby,Fair,Kirby Fair,-5,5,3,2,3,9,10,10,Up B,Up Smash (final hitbox),Jab,Ftilt/Up Tilt/Dtilt/Down Smash,Up B,Jab,Up Smash (final hitbox),Ftilt/Up Tilt/Dtilt/Down Smash,A,Move is -5 on shield. Up B comes out on frame 3.,1.0
Donkey Kong,Kirby,Fair,Kirby Fair,-5,5,0,1,12,5,2,14,No Guaranteed Punish,Jab/Up Tilt,Down Smash,Shield Grab,Shield Grab,No Guaranteed Punish,Down Smash,Jab/Up Tilt,B,Move is -5 on shield. Donkey Kong does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Link,Kirby,Fair,Kirby Fair,-5,5,0,1,11,3,10,11,No Guaranteed Punish,Fair,Dash Attack,Shield Grab/Nair/Up Smash,Shield Grab/Nair/Up Smash,Dash Attack,Fair,No Guaranteed Punish,D,Move is -5 on shield. Link does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Samus,Kirby,Fair,Kirby Fair,-5,5,4,2,11,10,8,11,Up B,Down Smash,Dtilt,Dair (Meteor),Up B,Dtilt,Down Smash,Dair (Meteor),A,Move is -5 on shield. Up B comes out on frame 4.,1.0
Yoshi,Kirby,Fair,Kirby Fair,-5,5,0,1,2,5,10,10,No Guaranteed Punish,Dash Attack,Down Smash/Down B/Shield Grab,Up Smash,No Guaranteed Punish,Down Smash/Down B/Shield Grab,Dash Attack,Up Smash,A,Move is -5 on shield. Yoshi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Kirby,Kirby,Fair,Kirby Fair,-5,5,0,1,3,4,10,11,No Guaranteed Punish,Down Smash,F Smash,Nair/Up Air,Nair/Up Air,F Smash,No Guaranteed Punish,Down Smash,C,Move is -5 on shield. Kirby does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Fox,Kirby,Fair,Kirby Fair,-5,5,0,1,8,10,4,10,No Guaranteed Punish,Dash Attack,Down B (Air),Shield Grab/Fair,Down B (Air),Shield Grab/Fair,Dash Attack,No Guaranteed Punish,D,Move is -5 on shield. Fox does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Pikachu,Kirby,Fair,Kirby Fair,-5,5,0,1,6,4,7,11,No Guaranteed Punish,Down Smash,Dtilt,Shield Grab/Up Air (Latest Hit),Shield Grab/Up Air (Latest Hit),Dtilt,No Guaranteed Punish,Down Smash,C,Move is -5 on shield. Pikachu does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Luigi,Kirby,Fair,Kirby Fair,-5,5,0,1,5,6,3,11,No Guaranteed Punish,Side B,Up Smash (Latest Hit)/Jab/Dair,Fair,Fair,Up Smash (Latest Hit)/Jab/Dair,Side B,No Guaranteed Punish,D,Move is -5 on shield. Luigi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Ness,Kirby,Fair,Kirby Fair,-5,5,0,1,7,3,8,11,No Guaranteed Punish,Side B (Ground),Up Tilt,Jab/Dtilt,Side B (Ground),Up Tilt,Jab/Dtilt,No Guaranteed Punish,D,Move is -5 on shield. Ness does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Captain Falcon,Kirby,Fair,Kirby Fair,-5,5,0,1,11,8,5,11,No Guaranteed Punish,Up Smash/Dtilt,Side B (Earliest Hit),F Smash/Down Smash,No Guaranteed Punish,F Smash/Down Smash,Up Smash/Dtilt,Side B (Earliest Hit),A,Move is -5 on shield. Captain Falcon does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Jigglypuff,Kirby,Fair,Kirby Fair,-5,5,5,2,9,6,5,12,Down B (Air),Up Smash (Latest Hit),Up Air (Latest Hit),Fair,Up Smash (Latest Hit),Down B (Air),Up Air (Latest Hit),Fair,B,Move is -5 on shield. Down B (Air) comes out on frame 5.,1.0
Min Min,Kirby,Fair,Kirby Fair,-5,5,0,1,8,4,7,10,No Guaranteed Punish,F Smash,Ram Ram Nair,Jab,F Smash,Ram Ram Nair,No Guaranteed Punish,Jab,C,Move is -5 on shield. Min Min does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Mario,Kirby,Bair (Early Hit),Kirby Bair (Early Hit),-5,5,3,2,6,4,7,10,Up B,Up Smash (final hitbox),Ftilt/Up Tilt/Dtilt/Down Smash,F Smash,Up Smash (final hitbox),Ftilt/Up Tilt/Dtilt/Down Smash,F Smash,Up B,D,Move is -5 on shield. Up B comes out on frame 3.,1.0
Donkey Kong,Kirby,Bair (Early Hit),Kirby Bair (Early Hit),-5,5,0,1,10,8,11,14,No Guaranteed Punish,Fair (Latest Hit),Ftilt,Side B,No Guaranteed Punish,Fair (Latest Hit),Ftilt,Side B,A,Move is -5 on shield. Donkey Kong does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Link,Kirby,Bair (Early Hit),Kirby Bair (Early Hit),-5,5,0,1,6,2,5,11,No Guaranteed Punish,F Smash,Jab,Dash Attack,Jab,No Guaranteed Punish,Dash Attack,F Smash,B,Move is -5 on shield. Link does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Samus,Kirby,Bair (Early Hit),Kirby Bair (Early Hit),-5,5,4,2,10,9,4,11,Up B,Dtilt,No Guaranteed Punish,Shield Grab/Dash Attack/Ftilt,Up B,Dtilt,No Guaranteed Punish,Shield Grab/Dash Attack/Ftilt,A,Move is -5 on shield. Up B comes out on frame 4.,1.0
Yoshi,Kirby,Bair (Early Hit),Kirby Bair (Early Hit),-5,5,0,1,10,6,2,10,No Guaranteed Punish,Fair (Latest Hit),Up Smash,F Smash,Up Smash,Fair (Latest Hit),No Guaranteed Punish,F Smash,C,Move is -5 on shield. Yoshi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Kirby,Kirby,Bair (Early Hit),Kirby Bair (Early Hit),-5,5,0,1,2,5,11,11,No Guaranteed Punish,Fair/Jab,Shield Grab,F Smash,No Guaranteed Punish,Shield Grab,F Smash,Fair/Jab,A,Move is -5 on shield. Kirby does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Fox,Kirby,Bair (Early Hit),Kirby Bair (Early Hit),-5,5,0,1,7,10,2,10,No Guaranteed Punish,Dash Attack,Dtilt/Up Tilt (Latest Hit),Up Smash/Dair,Dash Attack,Up Smash/Dair,No Guaranteed Punish,Dtilt/Up Tilt (Latest Hit),C,Move is -5 on shield. Fox does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Pikachu,Kirby,Bair (Early Hit),Kirby Bair (Early Hit),-5,5,0,1,7,5,11,11,No Guaranteed Punish,Shield Grab/Up Air (Latest Hit),Up Smash,F Smash,Shield Grab/Up Air (Latest Hit),F Smash,No Guaranteed Punish,Up Smash,C,Move is -5 on shield. Pikachu does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Luigi,Kirby,Bair (Early Hit),Kirby Bair (Early Hit),-5,5,0,1,8,4,5,11,No Guaranteed Punish,Down Smash,F Smash,Up Tilt/Dtilt/Ftilt,No Guaranteed Punish,Up Tilt/Dtilt/Ftilt,F Smash,Down Smash,A,Move is -5 on shield. Luigi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Ness,Kirby,Bair (Early Hit),Kirby Bair (Early Hit),-5,5,0,1,5,3,8,11,No Guaranteed Punish,F Smash,Side B (Ground),Jab/Dtilt,F Smash,Side B (Ground),Jab/Dtilt,No Guaranteed Punish,D,Move is -5 on shield. Ness does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Captain Falcon,Kirby,Bair (Early Hit),Kirby Bair (Early Hit),-5,5,0,1,4,5,10,11,No Guaranteed Punish,Dair,Dash Attack/Ftilt,Up B (Air)/Fair,Dash Attack/Ftilt,Dair,No Guaranteed Punish,Up B (Air)/Fair,C,Move is -5 on shield. Captain Falcon does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Jigglypuff,Kirby,Bair (Early Hit),Kirby Bair (Early Hit),-5,5,5,2,11,10,8,12,Down B (Air),Nair,Up Air (Latest Hit),Fair,Nair,Fair,Up Air (Latest Hit),Down B (Air),D,Move is -5 on shield. Down B (Air) comes out on frame 5.,1.0
Min Min,Kirby,Bair (Early Hit),Kirby Bair (Early Hit),-5,5,0,1,9,10,8,10,No Guaranteed Punish,Ftilt,Down Smash,Dtilt,Dtilt,Ftilt,No Guaranteed Punish,Down Smash,C,Move is -5 on shield. Min Min does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Mario,Kirby,Up Air,Kirby Up Air,-3,3,3,2,9,10,7,10,Up B,Up Air,Nair,No Guaranteed Punish,Nair,Up B,No Guaranteed Punish,Up Air,B,Move is -3 on shield. Up B comes out on frame 3.,1.0
Donkey Kong,Kirby,Up Air,Kirby Up Air,-3,3,0,1,14,10,3,14,No Guaranteed Punish,Shield Grab,Dash Attack,Side B,No Guaranteed Punish,Dash Attack,Side B,Shield Grab,A,Move is -3 on shield. Donkey Kong does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Link,Kirby,Up Air,Kirby Up Air,-3,3,0,1,5,2,7,11,No Guaranteed Punish,Down Smash/Up Tilt (Latest Hit),Dash Attack,Dair,No Guaranteed Punish,Down Smash/Up Tilt (Latest Hit),Dair,Dash Attack,A,Move is -3 on shield. Link does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Samus,Kirby,Up Air,Kirby Up Air,-3,3,0,1,9,4,2,11,No Guaranteed Punish,Nair/Up Smash,Up Tilt (Latest Hit),Shield Grab/Dash Attack/Ftilt,Shield Grab/Dash Attack/Ftilt,Nair/Up Smash,No Guaranteed Punish,Up Tilt (Latest Hit),C,Move is -3 on shield. Samus does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Yoshi,Kirby,Up Air,Kirby Up Air,-3,3,0,1,8,10,9,10,No Guaranteed Punish,Jab,Fair (Latest Hit),Nair,Fair (Latest Hit),No Guaranteed Punish,Nair,Jab,B,Move is -3 on shield. Yoshi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Kirby,Kirby,Up Air,Kirby Up Air,-3,3,0,1,11,7,8,11,No Guaranteed Punish,Dtilt,Dash Attack,F Smash,Dash Attack,Dtilt,F Smash,No Guaranteed Punish,D,Move is -3 on shield. Kirby does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Fox,Kirby,Up Air,Kirby Up Air,-3,3,0,1,8,5,2,10,No Guaranteed Punish,Nair,Shield Grab/Fair,Up Smash/Dair,Shield Grab/Fair,No Guaranteed Punish,Nair,Up Smash/Dair,B,Move is -3 on shield. Fox does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Pikachu,Kirby,Up Air,Kirby Up Air,-3,3,0,1,7,4,5,11,No Guaranteed Punish,Dtilt,F Smash,Jab,No Guaranteed Punish,Dtilt,Jab,F Smash,A,Move is -3 on shield. Pikachu does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Luigi,Kirby,Up Air,Kirby Up Air,-3,3,0,1,2,11,7,11,No Guaranteed Punish,Side B,Dash Attack,F Smash,Dash Attack,Side B,F Smash,No Guaranteed Punish,D,Move is -3 on shield. Luigi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Ness,Kirby,Up Air,Kirby Up Air,-3,3,0,1,2,5,9,11,No Guaranteed Punish,Up Smash/Shield Grab/Down B (Air),Side B (Ground),Up Tilt,Side B (Ground),Up Tilt,Up Smash/Shield Grab/Down B (Air),No Guaranteed Punish,D,Move is -3 on shield. Ness does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Captain Falcon,Kirby,Up Air,Kirby Up Air,-3,3,0,1,5,9,8,11,No Guaranteed Punish,Side B (Earliest Hit),F Smash/Down Smash,Up Tilt (Latest Hit),F Smash/Down Smash,Up Tilt (Latest Hit),Side B (Earliest Hit),No Guaranteed Punish,D,Move is -3 on shield. Captain Falcon does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Jigglypuff,Kirby,Up Air,Kirby Up Air,-3,3,0,1,2,7,3,12,No Guaranteed Punish,Down B (Air),Down Smash,Dtilt,Down Smash,Down B (Air),Dtilt,No Guaranteed Punish,D,Move is -3 on shield. Jigglypuff does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Min Min,Kirby,Up Air,Kirby Up Air,-3,3,0,1,8,9,7,10,No Guaranteed Punish,Up Smash,Ram Ram Nair,Down Smash,No Guaranteed Punish,Up Smash,Down Smash,Ram Ram Nair,A,Move is -3 on shield. Min Min does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Mario,Kirby,Dair,Kirby Dair,-12,12,12,6,9,10,7,10,Up Smash (final hitbox),Shield Grab,Dash Attack,Ftilt/Up Tilt/Dtilt/Down Smash,Dash Attack,Ftilt/Up Tilt/Dtilt/Down Smash,Shield Grab,Up Smash (final hitbox),D,Move is -12 on shield. Up Smash (final hitbox) comes out on frame 12.,1.0
Donkey Kong,Kirby,Dair,Kirby Dair,-12,12,11,2,8,5,6,14,Shield Grab,Nair,Side B,Dtilt/Dair,Dtilt/Dair,Nair,Shield Grab,Side B,C,Move is -12 on shield. Shield Grab comes out on frame 11.,1.0
Link,Kirby,Dair,Kirby Dair,-12,12,10,3,6,4,10,11,Shield Grab/Nair/Up Smash,Dair,Down Smash/Up Tilt (Latest Hit),Dtilt,Dtilt,Dair,Down Smash/Up Tilt (Latest Hit),Shield Grab/Nair/Up Smash,D,Move is -12 on shield. Shield Grab/Nair/Up Smash comes out on frame 10.,1.0
Samus,Kirby,Dair,Kirby Dair,-12,12,11,3,10,4,9,11,Nair/Up Smash,Down Smash,No Guaranteed Punish,Neutral B,Neutral B,No Guaranteed Punish,Nair/Up Smash,Down Smash,C,Move is -12 on shield. Nair/Up Smash comes out on frame 11.,1.0
Yoshi,Kirby,Dair,Kirby Dair,-12,12,11,3,6,4,8,10,Up Smash,Ftilt,Down Smash/Down B/Shield Grab,F Smash,Up Smash,Down Smash/Down B/Shield Grab,F Smash,Ftilt,A,Move is -12 on shield. Up Smash comes out on frame 11.,1.0
Kirby,Kirby,Dair,Kirby Dair,-12,12,12,4,2,5,6,11,Up Smash,Up Tilt (Latest Hit)/Dair/Neutral B,Dash Attack,No Guaranteed Punish,No Guaranteed Punish,Up Smash,Dash Attack,Up Tilt (Latest Hit)/Dair/Neutral B,B,Move is -12 on shield. Up Smash comes out on frame 12.,1.0
Fox,Kirby,Dair,Kirby Dair,-12,12,10,5,10,7,3,10,Shield Grab/Fair,Dtilt/Up Tilt (Latest Hit),Nair,Up Smash/Dair,Up Smash/Dair,Dtilt/Up Tilt (Latest Hit),Nair,Shield Grab/Fair,D,Move is -12 on shield. Shield Grab/Fair comes out on frame 10.,1.0
Pikachu,Kirby,Dair,Kirby Dair,-12,12,11,4,9,10,1,11,Shield Grab/Up Air (Latest Hit),Nair,F Smash,Dtilt,Dtilt,F Smash,Nair,Shield Grab/Up Air (Latest Hit),D,Move is -12 on shield. Shield Grab/Up Air (Latest Hit) comes out on frame 11.,1.0
Luigi,Kirby,Dair,Kirby Dair,-12,12,10,4,2,5,8,11,Fair,Up Tilt/Dtilt/Ftilt,F Smash,No Guaranteed Punish,F Smash,Fair,No Guaranteed Punish,Up Tilt/Dtilt/Ftilt,B,Move is -12 on shield. Fair comes out on frame 10.,1.0
Ness,Kirby,Dair,Kirby Dair,-12,12,11,4,7,8,10,11,Fair/Up Air,Side B (Ground),Dair/Side B (Air),Ftilt,Fair/Up Air,Ftilt,Side B (Ground),Dair/Side B (Air),A,Move is -12 on shield. Fair/Up Air comes out on frame 11.,1.0
Captain Falcon,Kirby,Dair,Kirby Dair,-12,12,10,2,8,9,1,11,Shield Grab/Nair/Up Air,Up Smash/Dtilt,Dash Attack/Ftilt,No Guaranteed Punish,No Guaranteed Punish,Dash Attack/Ftilt,Up Smash/Dtilt,Shield Grab/Nair/Up Air,D,Move is -12 on shield. Shield Grab/Nair/Up Air comes out on frame 10.,1.0
Jigglypuff,Kirby,Dair,Kirby Dair,-12,12,11,5,11,9,6,12,Fair,Nair,Jab/Dash Attack/Side B (Air),Dtilt,Nair,Fair,Dtilt,Jab/Dash Attack/Side B (Air),B,Move is -12 on shield. Fair comes out on frame 11.,1.0
Min Min,Kirby,Dair,Kirby Dair,-12,12,11,3,8,1,7,10,Ram Ram Nair,Dtilt,F Smash,Down Smash,Ram Ram Nair,Down Smash,F Smash,Dtilt,A,Move is -12 on shield. Ram Ram Nair comes out on frame 11.,1.0
Mario,Fox,Nair (Early Hit),Fox Nair (Early Hit),-3,3,3,2,7,8,1,10,Up B,Dash Attack,Up Smash (final hitbox),Jab,Dash Attack,Up Smash (final hitbox),Up B,Jab,C,Move is -3 on shield. Up B comes out on frame 3.,1.0
Donkey Kong,Fox,Nair (Early Hit),Fox Nair (Early Hit),-3,3,0,1,7,5,11,14,No Guaranteed Punish,Dtilt/Dair,Fair (Latest Hit),Side B,No Guaranteed Punish,Dtilt/Dair,Side B,Fair (Latest Hit),A,Move is -3 on shield. Donkey Kong does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Link,Fox,Nair (Early Hit),Fox Nair (Early Hit),-3,3,0,1,4,7,8,11,No Guaranteed Punish,Down Smash/Up Tilt (Latest Hit),Up B,Dair,No Guaranteed Punish,Dair,Down Smash/Up Tilt (Latest Hit),Up B,A,Move is -3 on shield. Link does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Samus,Fox,Nair (Early Hit),Fox Nair (Early Hit),-3,3,0,1,11,5,6,11,No Guaranteed Punish,Up Tilt (Latest Hit),Down Smash,F Smash,Down Smash,Up Tilt (Latest Hit),F Smash,No Guaranteed Punish,D,Move is -3 on shield. Samus does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Yoshi,Fox,Nair (Early Hit),Fox Nair (Early Hit),-3,3,0,1,3,6,4,10,No Guaranteed Punish,Up Tilt/Dtilt/Dair,Ftilt,Fair (Latest Hit),No Guaranteed Punish,Fair (Latest Hit),Ftilt,Up Tilt/Dtilt/Dair,A,Move is -3 on shield. Yoshi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Kirby,Fox,Nair (Early Hit),Fox Nair (Early Hit),-3,3,0,1,5,3,7,11,No Guaranteed Punish,Shield Grab,Ftilt,Nair/Up Air,Nair/Up Air,No Guaranteed Punish,Shield Grab,Ftilt,B,Move is -3 on shield. Kirby does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Fox,Fox,Nair (Early Hit),Fox Nair (Early Hit),-3,3,0,1,3,10,2,10,No Guaranteed Punish,Down B (Air),F Smash,Shield Grab/Fair,F Smash,No Guaranteed Punish,Down B (Air),Shield Grab/Fair,B,Move is -3 on shield. Fox does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Pikachu,Fox,Nair (Early Hit),Fox Nair (Early Hit),-3,3,0,1,3,7,10,11,No Guaranteed Punish,Up Tilt (Latest Hit),Fair,Jab,No Guaranteed Punish,Fair,Up Tilt (Latest Hit),Jab,A,Move is -3 on shield. Pikachu does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Luigi,Fox,Nair (Early Hit),Fox Nair (Early Hit),-3,3,0,1,2,8,4,11,No Guaranteed Punish,Up Tilt/Dtilt/Ftilt,Nair,Up Smash (Latest Hit)/Jab/Dair,Nair,Up Tilt/Dtilt/Ftilt,No Guaranteed Punish,Up Smash (Latest Hit)/Jab/Dair,C,Move is -3 on shield. Luigi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Ness,Fox,Nair (Early Hit),Fox Nair (Early Hit),-3,3,0,1,8,2,6,11,No Guaranteed Punish,Up Smash/Shield Grab/Down B (Air),Dash Attack,F Smash,Up Smash/Shield Grab/Down B (Air),Dash Attack,F Smash,No Guaranteed Punish,D,Move is -3 on shield. Ness does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Captain Falcon,Fox,Nair (Early Hit),Fox Nair (Early Hit),-3,3,0,1,2,4,8,11,No Guaranteed Punish,Side B (Earliest Hit),Up B (Air)/Fair,Up Smash/Dtilt,Side B (Earliest Hit),Up Smash/Dtilt,No Guaranteed Punish,Up B (Air)/Fair,C,Move is -3 on shield. Captain Falcon does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Jigglypuff,Fox,Nair (Early Hit),Fox Nair (Early Hit),-3,3,0,1,2,7,5,12,No Guaranteed Punish,F Smash,Dtilt,Up Smash (Latest Hit),No Guaranteed Punish,Up Smash (Latest Hit),F Smash,Dtilt,A,Move is -3 on shield. Jigglypuff does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Min Min,Fox,Nair (Early Hit),Fox Nair (Early Hit),-3,3,0,1,7,10,8,10,No Guaranteed Punish,Dtilt,Down Smash,Shield Grab,Dtilt,Shield Grab,Down Smash,No Guaranteed Punish,D,Move is -3 on shield. Min Min does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Mario,Fox,Nair (Late Hit),Fox Nair (Late Hit),-4,4,3,2,5,6,9,10,Up B,Up Smash (final hitbox),F Smash,Shield Grab,Up Smash (final hitbox),F Smash,Up B,Shield Grab,C,Move is -4 on shield. Up B comes out on frame 3.,1.0
Donkey Kong,Fox,Nair (Late Hit),Fox Nair (Late Hit),-4,4,0,1,6,9,11,14,No Guaranteed Punish,Down B (Ground),F Smash,Side B,F Smash,Down B (Ground),No Guaranteed Punish,Side B,C,Move is -4 on shield. Donkey Kong does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Link,Fox,Nair (Late Hit),Fox Nair (Late Hit),-4,4,0,1,4,5,7,11,No Guaranteed Punish,Up B,Down Smash/Up Tilt (Latest Hit),Jab,Jab,No Guaranteed Punish,Up B,Down Smash/Up Tilt (Latest Hit),B,Move is -4 on shield. Link does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Samus,Fox,Nair (Late Hit),Fox Nair (Late Hit),-4,4,4,2,6,3,7,11,Up B,Nair/Up Smash,Jab,No Guaranteed Punish,No Guaranteed Punish,Nair/Up Smash,Up B,Jab,C,Move is -4 on shield. Up B comes out on frame 4.,1.0
Yoshi,Fox,Nair (Late Hit),Fox Nair (Late Hit),-4,4,0,1,5,3,7,10,No Guaranteed Punish,Down Smash/Down B/Shield Grab,Jab,Nair,No Guaranteed Punish,Nair,Jab,Down Smash/Down B/Shield Grab,A,Move is -4 on shield. Yoshi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Kirby,Fox,Nair (Late Hit),Fox Nair (Late Hit),-4,4,0,1,8,3,6,11,No Guaranteed Punish,Dtilt,Dash Attack,Fair/Jab,Dtilt,No Guaranteed Punish,Fair/Jab,Dash Attack,B,Move is -4 on shield. Kirby does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Fox,Fox,Nair (Late Hit),Fox Nair (Late Hit),-4,4,0,1,10,8,4,10,No Guaranteed Punish,F Smash,Down B (Air),Down Smash,No Guaranteed Punish,Down B (Air),Down Smash,F Smash,A,Move is -4 on shield. Fox does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Pikachu,Fox,Nair (Late Hit),Fox Nair (Late Hit),-4,4,0,1,8,2,10,11,No Guaranteed Punish,Shield Grab/Up Air (Latest Hit),Nair,Down Smash,Nair,Shield Grab/Up Air (Latest Hit),No Guaranteed Punish,Down Smash,C,Move is -4 on shield. Pikachu does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Luigi,Fox,Nair (Late Hit),Fox Nair (Late Hit),-4,4,0,1,10,8,2,11,No Guaranteed Punish,Fair,Down Smash,Nair,Nair,No Guaranteed Punish,Down Smash,Fair,B,Move is -4 on shield. Luigi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Ness,Fox,Nair (Late Hit),Fox Nair (Late Hit),-4,4,0,1,5,7,8,11,No Guaranteed Punish,Fair/Up Air,Side B (Ground),Ftilt,Ftilt,Side B (Ground),Fair/Up Air,No Guaranteed Punish,D,Move is -4 on shield. Ness does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Captain Falcon,Fox,Nair (Late Hit),Fox Nair (Late Hit),-4,4,0,1,11,5,3,11,No Guaranteed Punish,Side B (Earliest Hit),Down B,Up B (Ground)/Jab,Down B,Up B (Ground)/Jab,Side B (Earliest Hit),No Guaranteed Punish,D,Move is -4 on shield. Captain Falcon does not have a fast enough out of shield option to get a guaranteed punish.,1.0
